Date,Production_Quantity,Sales_Price,Cost_Price,Profit_Percent,Market_Share,Customer_Satisfaction,Engine_Size_cc,Mileage_km_l,Warranty_Period_months,Safety_Rating,Color,Monthly_Advertising_Expense,DealershipLocationID
2010-01-01,250,31014.00,33390.00,19.58,4.03,2.98667,4709,7.38941,57,2,White,5554,1
2010-03-02,508,36171.00,13950.00,5.24,0.65,3.57741,5619,6.30095,46,1,White,1673,1
2010-01-02,489,55193.00,39921.00,8.78,6.00,4.30399,5598,14.79551,35,1,Red,5612,2
2010-02-12,705,65938.00,26138.00,15.66,5.17,3.45864,4911,15.68092,24,1,White,6146,2
2010-01-03,320,34423.00,19145.00,15.65,4.46,1.66886,3744,8.26488,40,2,Black,4939,3
2010-01-04,577,60600.00,53105.00,8.22,9.02,2.25801,5717,12.58213,33,3,Black,3148,3
2010-01-05,338,25620.00,57706.00,7.66,5.30,3.63705,5000,9.98200,59,2,Red,1394,4
2010-01-07,825,48393.00,26207.00,6.31,9.26,3.60463,3152,5.60229,16,3,Blue,6080,4
2010-01-06,444,44430.00,18852.00,14.80,5.90,1.59625,3620,17.37261,49,3,Silver,5812,5
2010-02-08,278,38446.00,36500.00,16.07,4.79,1.80299,1807,7.50796,30,4,Blue,4617,5
2010-02-28,119,61085.00,27794.00,11.19,7.79,2.17528,3081,11.31855,31,1,White,1465,5
2010-01-08,322,27257.00,41405.00,18.25,0.53,3.96208,5837,8.91339,53,3,Blue,8361,6
2010-01-14,440,59428.00,46461.00,11.91,5.24,2.05560,5971,14.34710,15,1,Blue,7878,6
2010-01-09,880,31523.00,38144.00,15.22,3.86,4.59886,3640,11.96067,12,1,Blue,9895,7
2010-01-10,901,48738.00,54854.00,9.43,9.37,3.97733,2361,15.58109,54,4,Black,5047,8
2010-01-20,990,39882.00,36698.00,14.99,2.79,4.48363,4086,13.89418,29,1,Blue,8523,8
2010-01-11,862,63632.00,52632.00,13.45,3.97,2.34761,4259,13.05998,14,2,White,7646,9
2010-01-12,290,29834.00,45251.00,15.48,2.90,3.15731,1606,17.19581,55,2,White,6096,10
2010-02-20,458,62843.00,30298.00,6.91,7.51,4.67972,4554,12.67346,38,1,Silver,8143,10
2010-01-13,998,28617.00,19245.00,12.35,2.22,3.76507,3713,12.79217,32,3,Silver,8417,11
2010-01-15,249,69082.00,27571.00,7.46,3.67,2.28930,1495,8.94582,32,4,Black,1511,12
